[2, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 1, 1, 3, 3, 1, 3, 3, 3, 1, 1, 1, 3]
[2, 3, 1, 2, 1, 1, 1, 2, 2, 3, 2, 3, 1, 4, 1, 3, 2, 3, 1, 1, 4, 4, 2, 3, 4, 4, 1, 1, 1, 4]
[3, 5, 1, 2, 1, 1, 2, 3, 3, 4, 3, 5, 2, 6, 1, 5, 3, 4, 1, 2, 5, 6, 2, 5, 6, 6, 1, 1, 2, 6]
[4, 6, 1, 3, 2, 1, 2, 3, 4, 5, 4, 6, 2, 8, 1, 6, 4, 5, 2, 2, 7, 8, 3, 6, 8, 8, 1, 1, 2, 8]
[5, 8, 1, 4, 2, 1, 2, 4, 4, 6, 5, 7, 3, 9, 1, 7, 5, 6, 2, 2, 9, 10, 4, 7, 9, 9, 1, 1, 2, 9]
[6, 9, 1, 4, 2, 2, 3, 5, 5, 7, 6, 9, 3, 11, 1, 9, 6, 7, 2, 3, 10, 12, 4, 9, 11, 11, 2, 1, 3, 11]
[7, 12, 1, 5, 3, 2, 3, 6, 7, 9, 7, 11, 4, 15, 1, 11, 7, 9, 3, 4, 13, 16, 6, 12, 15, 15, 2, 1, 3, 15]
[9, 15, 1, 7, 3, 2, 4, 7, 8, 11, 9, 14, 5, 18, 1, 14, 9, 12, 3, 4, 17, 20, 7, 14, 18, 18, 2, 1, 4, 18]
[11, 18, 1, 8, 4, 3, 5, 9, 10, 13, 11, 17, 5, 22, 1, 17, 11, 14, 4, 5, 20, 24, 8, 17, 22, 22, 3, 1, 5, 22]
[13, 22, 1, 10, 5, 3, 6, 11, 12, 17, 13, 21, 7, 27, 1, 21, 13, 17, 5, 6, 25, 30, 10, 21, 27, 27, 3, 2, 6, 27]
