Académie,Nom de domaine
Aix-Marseille,ac-aix-marseille.fr
Amiens,ac-amiens.fr
Besançon,ac-besancon.fr
Bordeaux,ac-bordeaux.fr
Clermont-Ferrand,ac-clermont.fr
Corse,ac-corse.fr
Créteil,ac-creteil.fr
Dijon,ac-dijon.fr
Grenoble,ac-grenoble.fr
Lille,ac-lille.fr
Limoges,ac-limoges.fr
Lyon,ac-lyon.fr
Montpellier,ac-montpellier.fr
Nancy-Metz,ac-nancy-metz.fr
Nantes,ac-nantes.fr
Nice,ac-nice.fr
Normandie (Caen/Rouen),ac-normandie.fr
Orléans-Tours,ac-orleans-tours.fr
Paris,ac-paris.fr
Poitiers,ac-poitiers.fr
Reims,ac-reims.fr
Rennes,ac-rennes.fr
Strasbourg,ac-strasbourg.fr
Toulouse,ac-toulouse.fr
Versailles,ac-versailles.fr
Guadeloupe,ac-guadeloupe.fr
Guyane,ac-guyane.fr
La Réunion,ac-reunion.fr
Martinique,ac-martinique.fr
Mayotte,ac-mayotte.fr
Nouvelle-Calédonie,ac-noumea.nc
Polynésie française,ac-polynesie.pf
Wallis-et-Futuna,ac-wallis-et-futuna.wf
