UAI,Nom,Type,Statut,Adresse,Code_Postal,Commune,Téléphone,Mail,REP ?,Circo 1er degre,latitude,longitude,Réseau
0040001E,Collège Émile Honnoraty,Collège,Public,boulevard Saint-Pierre,4240,Annot,04 92 83 23 27,ce.0040001E@ac-aix-marseille.fr,,,43.96851919744893,6.665499465094794,Bléone Durance
0040002F,Collège du Pays de Banon,Collège,Public,place Charles Vial,4150,Banon,04 92 73 21 12,ce.0040002F@ac-aix-marseille.fr,,,44.03787107733002,5.629589777630617,Giono
0040003G,Lycée polyvalent André Honnorat,Lycée,Public,1 rue André Honnorat,4400,Barcelonnette,04 92 80 70 10,ce.0040003G@ac-aix-marseille.fr,,,44.38877785168884,6.651860207203217,Porte des Alpes
0040004H,Collège du Verdon,Collège,Public,avenue du 11 Novembre,4120,Castellane,04 92 89 20 50,ce.0040004H@ac-aix-marseille.fr,,,43.84717601052359,6.510789947933673,Bléone Durance
0040007L,Lycée professionnel Alphonse Beau de Rochas,Lycée,Public,10 avenue du Général Leclerc,4000,Digne-les-Bains,04 92 31 06 08,ce.0040007L@ac-aix-marseille.fr,,,44.100067864825206,6.234224046716887,Bléone Durance
0040010P,Lycée Félix Esclangon,Lycée,Public,boulevard Martin Bret,4103,Manosque,04 92 70 54 70,ce.0040010P@ac-aix-marseille.fr,,,43.83780465789432,5.78133675253913,Giono
0040011R,Lycée professionnel Louis Martin Bret,Lycée,Public,allée du Parc,4101,Manosque,04 92 70 78 40,ce.0040011R@ac-aix-marseille.fr,,,43.82663636019546,5.7848603084723225,Giono
0040013T,Collège le Mont d'Or,Collège,Public,boulevard Martin Nalin,4100,Manosque,04 92 72 03 71,ce.0040013T@ac-aix-marseille.fr,,Digne les Bains,43.83528869404598,5.787123117417129,Giono
0040014U,Collège Marcel Massot,Collège,Public,place de l'Église,4250,La Motte-du-Caire,04 92 68 32 87,ce.0040014U@ac-aix-marseille.fr,,,44.34521473138083,6.029739592971908,Bléone Durance
0040017X,Collège Maxime Javelly,Collège,Public,rue du Collège,4500,Riez,04 92 77 80 38,ce.0040017X@ac-aix-marseille.fr,,Digne les Bains,43.81591095374647,6.092710520618963,Giono
0040019Z,Collège René Cassin,Collège,Public,chemin du Mazet,4170,Saint-André-les-Alpes,04 92 89 01 25,ce.0040019Z@ac-aix-marseille.fr,,Digne les Bains,43.969668379570734,6.511859832104923,Bléone Durance
0040021B,Collège Marcel André,Collège,Public,le Promenoir,4140,Seyne,04 92 35 00 49,ce.0040021B@ac-aix-marseille.fr,,Digne les Bains,44.35016520974136,6.356979551984686,Bléone Durance
0040022C,Collège Gassendi,Collège,Public,20 avenue François Cuzin,4004,Digne-les-Bains,04 92 32 19 05,ce.0040022C@ac-aix-marseille.fr,,Digne les Bains,44.089143727503824,6.231149574919586,Bléone Durance
0040023D,Lycée polyvalent Paul Arène,Lycée,Public,13 avenue du Stade,4203,Sisteron,04 92 61 02 99,ce.0040023D@ac-aix-marseille.fr,,,44.182252228728174,5.946680599496812,Bléone Durance
0040027H,Lycée Alexandra David-Néel,Lycée,Public,17 avenue Maréchal Leclerc,4004,Digne-les-Bains,04 92 30 35 80,ce.0040027H@ac-aix-marseille.fr,,,44.10080292047132,6.234040842192244,Bléone Durance
0040034R,Lycée polyvalent du Sacré-Coeur,Lycée,Privé,2 avenue des Thermes,4000,Digne-les-Bains,04 92 30 58 60,ce.0040034r@ac-aix-marseille.fr,,,44.09137190685095,6.241189866814093,Bléone Durance
0040044B,Collège Maria Borrély,Collège,Public,5 place des Cordeliers,4004,Digne-les-Bains,04 86 49 91 00,ce.0040044B@ac-aix-marseille.fr,,Digne les Bains,44.09466935826107,6.237060584123931,Bléone Durance
0040051J,Collège Docteur JMG Itard,Collège,Public,avenue Flourens Aillaud,4700,Oraison,04 92 78 61 69,ce.0040051J@ac-aix-marseille.fr,,Digne les Bains,43.91530621125855,5.916470238097404,Giono
0040052K,Collège Camille Reymond,Collège,Public,quartier de la Bastide Neuve,4160,Château-Arnoux-Saint-Auban,04 92 64 04 41,ce.0040052K@ac-aix-marseille.fr,,Digne les Bains,44.081165204080165,5.997600380300948,Bléone Durance
0040055N,Collège Jean Giono,Collège,Public,chemin des Adrechs,4100,Manosque,04 92 72 06 20,ce.0040055N@ac-aix-marseille.fr,REP,Digne les Bains,43.82531251715252,5.776499993006937,Giono
0040056P,Lycée Agricole Carmejane - Maurice Plantier,Lycée,Public,route de Carmejane,4510,le Chaffaut-Saint-Jurson,04 92 30 35 70,legta.digne@educagri.fr,,,44.03827700198724,6.151040279597953,Bléone Durance
0040057R,École primaire d'Aiglun,École,Public,2 rue des Pitchounets,4510,Aiglun,04 92 34 61 57,ce.0040057R@ac-aix-marseille.fr,,Digne les Bains,44.05090460413877,6.142982104750676,Bléone Durance
0040058S,École primaire publique Philippe Mensang,École,Public,chemin des Jardins,4500,Allemagne-en-Provence,04 92 77 49 22,ce.0040058S@ac-aix-marseille.fr,,Manosque,43.78208341777693,6.008433815863931,Giono
0040059T,École primaire d'Allos,École,Public,le village,4260,Allos,04 92 83 08 21,ce.0040059T@ac-aix-marseille.fr,,Digne les Bains,44.241090856186446,6.629386157600438,Bléone Durance
0040064Y,École primaire d'Annot,École,Public,quartier Pré Martin,4240,Annot,04 92 83 27 25,ce.0040064Y@ac-aix-marseille.fr,,Digne les Bains,43.96223170981179,6.665010280511167,Bléone Durance
0040065Z,École élémentaire Aubignosc,École,Public,place de Flore,4200,Aubignosc,04 92 62 43 44,ce.0040065Z@ac-aix-marseille.fr,,Sisteron,44.12915666535442,5.9704176692665945,Bléone Durance
0040067B,École primaire Banon,École,Public,rue de l'Industrie,4150,Banon,04 92 73 28 55,ce.0040067B@ac-aix-marseille.fr,,Sisteron Sud,44.038386922812,5.630120417508949,Giono
0040068C,École élémentaire publique des Trois Frères Arnaud,École,Public,9 avenue des Trois Frères Arnaud,4400,Barcelonnette,04 92 81 03 30,ce.0040068C@ac-aix-marseille.fr,,Sisteron,44.3863921576294,6.649400305677978,Porte des Alpes
0040070E,École maternelle de Barcelonnette,École,Public,3 avenue de Nice,4400,Barcelonnette,04 92 81 07 35,ce.0040070E@ac-aix-marseille.fr,,Sisteron,44.38505761558561,6.65015993232046,Porte des Alpes
0040071F,École primaire de Barles,École,Public,le village,4140,Barles,09 79 25 72 34,ce.0040071F@ac-aix-marseille.fr,,Digne les Bains,44.26325045710008,6.2684002394525695,Bléone Durance
0040072G,École élémentaire Barras,École,Public,le village,4380,Barras,04 92 34 73 06,ce.0040072G@ac-aix-marseille.fr,,Digne les Bains,44.1050584985404,6.113769605416263,Bléone Durance
0040073H,École primaire de Barrême,École,Public,la Grande allée,4330,Barrême,04 92 34 21 28,ce.0040073H@ac-aix-marseille.fr,,Digne les Bains,43.954828227953705,6.369264676932978,Bléone Durance
0040078N,École élémentaire Bevons,École,Public,le Castel,4200,Bevons,04 92 62 82 36,ce.0040078N@ac-aix-marseille.fr,,Sisteron,44.17164834616045,5.887593531928599,Bléone Durance
0040082T,École primaire de Bras d'ass,École,Public,le village,4270,Bras-d'Asse,04 92 34 46 43,ce.0040082T@ac-aix-marseille.fr,,Manosque,43.9240000592682,6.125909042604004,Bléone Durance
0040085W,École primaire d'Ubaye Serre Poncon,École,Public,le village,4340,Ubaye-Serre-Ponçon,04 92 85 54 92,ce.0040085W@ac-aix-marseille.fr,,Sisteron,44.45735110963458,6.29437041978702,Porte des Alpes
0040086X,École primaire de la Brillanne,École,Public,1 route des Alpes,4700,La Brillanne,04 92 74 27 74,ce.0040086X@ac-aix-marseille.fr,,Sisteron Sud,43.92978731720443,5.89059032335847,Giono
0040088Z,École publique groupe scolaire Marcel Roux,École,Public,quartier l'Arzieras,4420,le Brusquet,04 92 35 69 09,ce.0040088Z@ac-aix-marseille.fr,,Digne les Bains,44.16260810446271,6.314050497055305,Bléone Durance
